,ID,Tweet,Label
46,70107,went live twice impressed really cool stageyou bestdjthank hardwell,NOT
47,55814,said gun safety law funny mean gun control agenda staffer must editing shit day kudos minion,NOT
48,88002,hillary clinton potus oops,OFF
49,21472,republican dominated chamber commerce let like nra tie hand gun control like u think charge everything,NOT
50,98429,rethink stop censoring conservative,NOT
51,94737,thats saying read tweet never said sir putting word mouth liberal really asshole cant civil discussion,OFF
52,69708,hope come back home safe may god protect whr ever,NOT
53,27819,nobody care paid protester capitol police need get hold lock,OFF
54,70591,maybe underlying theory wrong number way nomination support maga trump hinted,NOT
55,47612,still feel like missed may never know also senior dp next year help oh usl team,NOT
56,17998,dad army,NOT
57,63676,hate speech law main stream medium would need locked daily democrat liberal progressive look march sign amp speech definition hate speech url,OFF
58,70380,know going happen going lay bed cry listen kelly clarkson thanks free speech antifa,NOT
59,99247,forget antifa acorn terrorist obama palled around hahahahahha listen malarkey,OFF
60,29199,say wrong evidence said agree sargon pretty much every subject gun control healthcare centrist belief,OFF
61,52722,liberal activist call banning men via man control since gun control desired effect url url,NOT
62,37207,ikr like biggest fanboy,NOT
63,63106,obviously clue clearly american china became largest foreign holder u debt september 2008 major holder u since least 2000 whats wrind america url,NOT
64,45748,harry potter,NOT
65,29055,beautiful,NOT
66,61547,woman liberal nuff said kavanaugh confirmed next week regardless desperate game game maga,NOT
67,65948,appreciate self promotion tweet great advertising love community help maga fargolowes great group people thanks hurricaneflorence business hurricaneseason tuesdaythoughts technology investment,NOT
68,18381,little note bible ever read say holy spirit u fight devil lie claim holy human holy way dare blame devil new name pope false prophet,OFF
69,82437,ndp liberal give doug ford standing ovation cause worth standing,NOT
70,79786,funny scared pig could plot next child book,NOT
71,10253,awesome thank give humanity hope,NOT
72,40159,liberal hear sucking sound swamp,NOT
73,45915,agree transparency releasethedocuments maga,NOT
74,67758,title scare little bit,NOT
75,19428,9 time 10 dog lap get rowdy get scared hurt try kiss also ham camera come like pictureslet photo bomb whenever possible,NOT
76,30877,refuse acknowledge scampi nik nak nice spicy obscures sheer brilliantness,NOT
77,13613,raised hand smh,NOT
78,16545,look moving one word truth coming ever get chance ask layer question ask agree golan height belong dead dead water answer without condemning true,OFF
79,30297,friend abt hour myrtle beach scared death,NOT
80,86315,liberal like pushed around conservative supposed autocratic know winning shouting exceeds understanding rule based law best way watch liberal head explode con unpredictable url,NOT
81,20680,talk great nobody else,NOT
82,59696,bet ford part antifa berkeley gang,OFF
83,45045,attention lefty demanding gun control shooter left wing get shoot congressman create violent chos demand normal people disarm,OFF
84,47224,police reform yes try gun control tried work maybe like socialism communism done right yet sarcasm,OFF
85,39408,thank sm great meeting seeing favs reminded worth pushing pain able thing like,NOT
86,53657,shame seeing advanced case tds combined terminal liberalism pray might wanna reflect nazi propaganda v modern liberal racist everywhere tactic also compare antifa v nazi brown shirt righteous filled hate,NOT
87,65495,north star amongst many star pas away fill night sky brilliancy cannot begin 2 imagine parent grateful amp humbled time however brief w many shining star continue guide u url,NOT
88,25387,gotta love uninformed point venezuela though inevitable result socialism socialism venezuela gun control chicago like watching round shitty jeopardy one know damn thing try compete anyway logic trump,OFF
89,10712,revolting,NOT
90,92958,finally terrible take nfl owner racist,OFF
91,79312,wait need warrant currently investigation pretty sure currently alive,NOT
92,56957,ur fuckidng pretty perhaps shed tear url,OFF
93,14848,made guy dumb shit,OFF
94,38296,document must getting close crook,OFF
95,93504,johnmccain proud notably read passage scripture memorial service asked speak word sen mccain likely saw trump took office gutless suck looking session job weasel,NOT
96,55006,1 love 2 okai url,NOT
97,31282,kavanaugh issue detailed response confirms view deserves opportunity defend reputation completely false allegation never done anything like accuser describes anyone url,OFF
98,33600,robyn post selfie world stop moment appreciate,OFF
99,63729,listen actor seen first hand happened climate galaxy,NOT
100,82339,yes hurt self gun control freak,OFF
101,45914,dead even office likely command news cycle long time,OFF
102,93372,noticed kavanaugh hasnt actually answered real question posed roe v wade gun control even civil right,NOT
103,71376,follow everyone tweet fight twitter democrat,NOT
104,25820,ntknetwork news rnc raised 250 million 2018 midterm maga 2a prolife url,NOT
105,32776,liberal grasp unproven straw notplastic url,OFF
106,38111,yeah im thinking might working sam kaycee convinced wont target due lgbqt need mega phone,NOT
107,31030,followed detail jim jordan accuser also accuser even stated knew story might make money convicted scammer loathe man would assault woman believe bk accuser,NOT
108,53885,vocal believe telling others one dream important express dream others people remember escape actaully make come true regaining confidence,NOT
109,51828,blind fool make america great america first american understand difference people voted donald j trump ex obama policy complete failure let seat back enjoy show starting barack obama,OFF
110,66398,thus far people getting shot kicked place conservative maga walkaway confirmkavanaugh,OFF
111,38416,hilarious good way,OFF
112,45452,ah shite understand people go football match best impression mute trying ticket kop next chance get assume main stand le atmosphere kenny,NOT
113,33383,proven record failure,NOT
114,60314,got lot nerve fast amp furious,NOT
115,35518,long ago ray went follower quite possibly pay service pointing guy remember getting injured guy pay asshole bill,OFF
116,16893,time really starting hate word time world open mouth really shut time enough left liberal bull shit time case actually time hurting case,OFF
117,87953,victim let hear blood test since perpetrator shape,NOT
118,75196,boy hollywood sure like look like fool time wait find big hoax manufactured liberal think apologize kavanaugh way,OFF
119,45233,saying become another victim clinton,OFF
120,79423,say person refused idea differant view thing really product u system u antifa lite world really small,NOT
121,77041,amazing alex n infowars,NOT
122,61527,rushing catch drumpf,NOT
123,19514,pussy grabbing one wearing glove handling food maga url,OFF
124,26341,trained psychologist course pas lie detector test,NOT
125,97422,convaluted theory nixon deep throat,NOT
126,50910,amazing genius,NOT
127,75039,never understand anti antifa sentiment alternative opposed fascism fighting fascist akin racist violence kkk making death threat woman come forward regarding abuse,NOT
128,51246,please point true shitlibs love austerity slashing public funding love privatization social policy anything empty gesture anyone thread referred drug fraud far right true,NOT
129,29024,dare tell antifa right fighting facism fighting stupid cause fixing facism republican,OFF
130,10203,presidenttrump win law suit ca court overturn guncontrol law goa nra gunrights selfdefense a2 firearm molonlabe gun kag secondamendment ccot pjnet gunfreezones maga usconstitution url via,NOT
131,66487,krazee right winger nerve bitch antifa,OFF
132,38266,wcw look beautiful wish beauty tho love baby sister url,NOT
133,91332,oh yes,NOT
134,66518,greatest predictor political belief high openness low conscientiousness liberal low openness high conscientiousness conservative vast majority artist url,NOT
135,18205,advocating ridiculous fam,OFF
136,19121,shouldve played saint marie instead london dock saint as,NOT
137,85171,love norm,NOT
138,76519,lil girl adult conversation take thin as somewhere ya dig,OFF
139,99078,shit,OFF
140,55171,trump border wall never happen maga bluewave2018 url,NOT
141,79996,one agreed every one maga patriot must follow let together great nation 2018 repeat 2020 2022,NOT
142,32787,maga patriot qanon walkaway wwg1wga godsarmy thegreatawakening jesuslives catchtheredwave votered aboard trumptrain url,NOT
143,84836,also correct safest u city strict gun control law side note believe one word michael moore preaches documentary video bit eye opener url,NOT
144,17644,eric holder 2nd yr gitmo update gitmo expansion still breathing freedom air,NOT
145,80585,people tired virtue signaling wealthy liberal never never know struggle average american,NOT
146,97772,disgrace defending wrong doings anc umdala kangaka yhuuu,OFF
147,24376,disgusting dallas pd try find reason try drag man mud say save one 100 wrong,OFF
148,76679,2d puppet el mierdas wowowow cry see video url,NOT
149,25071,conservative violent liberal,NOT
150,41523,irish like tweet ireland nuetral wwii bono give nazi salute yawn nothing new,OFF
151,33165,wisdomwednesday forgiveness say given another chance new beginning pray forgiveness heart guarantee answer url,NOT
152,87399,liberal melt,OFF
153,64349,lmaooo wise ily,NOT
154,15262,awww kaise bache ki tarah holding finger,NOT
155,80476,mock liberal mp crossing floor join conservative evidence basically party,NOT
156,88993,ty followed need one follow back hope see follow maga kag,NOT
157,80776,lying public trust anymore,OFF
158,82911,100 follow back conservative must stand united trump45 maga2kag url,NOT
159,82591,honestly people seriously delusional good thing majority fan ottawa educated ppl like scary,OFF
160,71418,missed point like called white supremecists bc support trump please generalize dems support antifa violence,NOT
161,52087,u conservative gullible manny good point start spewing u propaganda sickens asked term gave one rebuttal watch,NOT
162,97626,conservative always dying wrong hill,NOT
163,72596,mean still superman,NOT
164,49118,bitchy ask question dont respond would 1 way street,OFF
165,37685,coward,OFF
166,10619,probably indoctrinating maga url,OFF
167,80088,would guessing thing time know raven would due diligence obviously one would investigate angle maybe know quite head case,NOT
168,33182,dad idol raising amazing young men,NOT
169,65755,constantly reminded blessed,NOT
170,10173,embarrassment 2 whole bravo viewing audience need 2 b kicked 2 curb quickly man worth dignity,NOT
171,22867,dc republican weak quasi conservative best,NOT
172,51945,election consequence left continues direction heading win another one long time keepitup liberalismisamentaldisease,NOT
173,89589,blocked 3 ass,OFF
174,86308,like antifa hiding face,NOT
175,25946,always,NOT
176,51041,see said travis ellen one hating as bitch,OFF
177,21156,guess settled gag inducing spokesperson commercialized conservative,NOT
178,15355,declare antifa terrorist organization start collecting name professor involved url,NOT
179,26320,familyprotection gun control supporter rebranding effort facebook livingtrust free california ccw class plus virtually unlimited free training front sight world largest shooting school url,NOT
180,94132,show world useless ineffective little whiny brat go cry corner nut oh yeah acosta,OFF
181,18692,someone similar pm want talk jrm face face btw,NOT
182,33785,1 largely regret looking one conservative right leaning perhaps even relatively speaking america topic relating transgender relation modern incarnation conservative youtube people referred anti sjws,NOT
183,88927,um saying labour party hatred implies hateful party therefore conservative le hateful whilst claim tory disputed whataboutery,OFF
184,58764,stream chat lmao raided reading chat like cutie,NOT
185,94391,liberal sexuality child puppet tuesdaythoughts,NOT
186,66011,believe soros also main financier socialist organization antifa protestors paid actor,NOT
187,42827,amazing,NOT
188,15732,realistic tho url,NOT
189,89012,cube shown past control investor board run show super cheap,OFF
190,25800,behar jewish really know supporting siding nazi dems running hitler playbook year new york jew side nazi speak israel pandering case take,NOT
191,43465,worst speaker ever,OFF
192,59986,wow wonder,NOT
193,60311,oh,NOT
194,74219,im sure,NOT
195,12887,bull shit stop putting word people mouth,OFF
196,66464,alaye turn maga pay,OFF
197,11332,pretty,NOT
198,87150,priceless get relive 2020 go trump,NOT
199,13167,looked antifa recruitment center welfare office maybe one tent ca thought,NOT
200,84281,agree pray big dumb mike keel heart attack look ripe,OFF
201,27420,really healing country leaving taking rest loony liberal,OFF
202,48717,remember people make story ask fbi investigate story kag maga kavanaughaccuser,NOT
203,93601,sure organization also respect two way street law enforcement job protect serve citizen like miss part,OFF
204,12038,think guilty leftwingers make sexual assault claim conservative,NOT
205,97979,live u maybe one reason know,NOT
206,44485,clarence thomas branded democrat served honorably well 20 yr hater gonna hate conservative,NOT
207,94680,obviously trying cardi desperate url,NOT
208,91634,,NOT
209,83209,release kraken wwg1wga maga url,NOT
210,94856,fuk fat cock sucker,OFF
211,40197,100 correct url,NOT
212,60091,cuz liberal sick cnn,OFF
213,51243,oh dear conservative implode,NOT
214,62612,democrat jam far left liberal judge conservative throat every liberal judge investigated way back grade school lowlife,OFF
215,31691,talk book giving away copy new book writerwednesday url,NOT
216,89618,,NOT
217,23255,conservative whining fixed typo,OFF
218,25995,labour commit ruling second referendum trying people pleaser amp win every possible vote could get positioning either way like would go well voter conservative bbcqt brexit eu,NOT
219,98246,boy really panicking hide wat know recall republican acting like obama put two liberal court,NOT
220,55432,sound like fascist,OFF
221,94541,also shitbiscuit stole tempe girl u blame,OFF
222,62223,liberal minority republican brain cell rock,OFF
223,86735,also king taste,NOT
224,83241,oh shit trigger bigot,OFF
225,57981,express entry taxi cab roxhamroad paperwork line ups police carry bag put hotel given 50k liberal,NOT
226,70288,amazing much money thrown guy liberal freaking beto epitomizes everything wrong america vote cruz,OFF
227,38056,read posted got close kavauagh body guard started action cover intention gun control nut grieving blame trump kavanaugh daughter death action make skin crawl,NOT
228,97556,destroyed 09 08 18 2nd chance adopt kreamy tonight exotic looking sweetheart friendly child good female cat one picked last night hoping someone step tonight url url,NOT
229,27535,answer different opinion racist lose argument racist love britain racist liberal week people take strong person one sheep,OFF
230,54430,funny democrat mainstream medium figure see lemon defend antifa,NOT
231,11255,liberal would still vote claim comment taken context still man integrity,NOT
232,73496,cnn go flame rest liberal far clueless change,OFF
233,19230,global elitist never thought would win like trump america know truth know trying help citizen stay strong america know support nwo never win,NOT
234,34900,name calling decorated disabled veteran shame know subject making slanderous remark,OFF
235,36136,best stray message need using every death blame gun push gun control talking actual cause distracts gunsense,NOT
236,73901,yes,NOT
237,40412,news orgs giving faith goldy time day simply wrong may experience two useless fool care one fool,OFF
238,98627,boy smoking marijuana hanging pornstar escort girl paying people keep slave slave insane url,OFF
239,50330,creepy old pedo desperately trying relevant old guy old world trump shattered,OFF
240,58460,4 much american tax payer contributing trump corporation golfing every weekend course one going golf 5 nra stopping gun control cost many student life year sad reality congress,NOT
241,11662,true pretty damn good qb though,NOT
242,54789,fucking pu little chinless donny,OFF
243,59992,hopefully get shot repug inaction gun control,OFF
244,53569,agree,NOT
245,98521,reason small market mediocre team,OFF
246,45317,happen know study qu ran using film,NOT
247,47297,purely move block nomination liberal said early would vote made story slap face really sexually harassed show liberal really care true victim power first,OFF
248,77910,good list keep going,NOT
249,29262,understood sir nation hunkered commitment 2 help maga god given stable genius word till bitter end god speed tziyon shalom con musica lucho latin jazz vocalist amp composer,NOT
250,11712,allusion must keep growing economy dependence bullshit job pay back unnecessary debt create growth prevent whole thing falling vote according circumstance time election,NOT
251,99342,maga 2 url,NOT
252,55485,said thing christian create life death dr ford stormy daniel tell story see counting antifa happening u weird christ like least vile etc,NOT
253,75221,incredible leader true hero thank chef,NOT
254,90595,meme got driving mr feinstein chinese chinesespy california wethepeople draintheswamp justice clintonemails maga wwg1wga californiawildfires redpill factsmatter factsonly makecaliforniagreatagain kag dnc liberallogic truth msm fact url,NOT
255,28774,deepstate going maga redwaverising redwave walkawayfromdemocrats walkaway walkawaymarch make viral url,OFF
256,74927,thats silly 90 cartoon made popular fuck,OFF
257,98653,alright someone dumb enough try deserve ever get wait hear first antifa idiot get blown away tried steal gun someone stand ground state,OFF
258,69430,ok accuse person sex crime 30 year happened use obstructing hearing supreme court justice liberal totally gone batshit crazy slow anything november show radical behavior work,NOT
259,30820,old photo way represent antifa small group delusional people call antideutsch anti german tried co opt anti fascist movement claim anyone anti german pro israel antisemitic racist,NOT
260,21206,socialism implemented historically one effective stop measure civil war knowing force reasoning behind gun control becomes clear clear picture process reading saul alinsky rule radical,OFF
261,41732,cause got head wave least 50 pound couple inch foot okay mention miley doesnt look fighting type idk,NOT
262,30743,majority used money buy obsessed w would regarding brexit power amp negotiating reply call ge amp get answer,NOT
263,13574,democrat want gun control say go range practice get better nra maga url,NOT
264,97959,oath must subpoenaed testify lifetime appointment stake please right time amp allow orrin hatch already made mind lying allowed question kind question could invite lawsuit,NOT
265,50260,race nothing either fake maga ignorant either way blocked,OFF
266,66442,much dislike antifa hope none stupid enough fall bait end getting someone else injured killed,OFF
267,13269,phinnaly,NOT
268,40978,alt right loser whiner w power matter many right wing oligarch fund antifa attack alt right russian intel fund antifa alt right russia hawk onto something alt right pro russia,NOT
269,79226,really show study country common sense gun control support statement thx,OFF
270,72606,policy worst,OFF
271,71869,want publicity try video apologizing fan kissing trump burning maga hat puhlease apologizing drake amp posting video daughter singing kiki song stop nobody buying album either url,OFF
272,73552,damn felt shit loud lol,OFF
273,52341,listened come conclusion twit ny time get money,NOT
274,12748,hypocrisymuch enemy people fakenews go political opponent hide crime liberal bigstuff url,OFF
275,22902,conservative bad people,NOT
276,41044,attempting emotionally manipulate canadian standard behaviour trudeau liberal,NOT
277,26553,lowemissions bus transport conservative pm announces 106m funding low emission vehicle url,NOT
278,59625,never going happen million year unless soros hire bunch antifa punk pretend vet,OFF
279,90586,neither antifa black life matter soros funded group,OFF
280,91864,carrying dave get,NOT
281,69898,eye see kay oh as,OFF
282,77799,poor comparison jay z literally said fucked na baby mom left condom daughter baby seat cardi nicki fighting,OFF
283,47236,agree prefer gun control gun safety shift debate lane prefer give inch,NOT
284,54335,13 booom mac telling pay public sector properly magic money tree disaster mean nh crisis competing sector url,NOT
285,73300,totally dodged question making million dollar stormy daniel still strip make living unethical,OFF
286,57820,excuse twitter twitter right one else continue viciously attack name call continue respond defend typical liberal trying argue antifa style guess still lose,NOT
287,14433,jen wear pearl clutching justice righteousness hope better horrific moment,NOT
288,34986,fuck as fuck although conservative fucking u as right,OFF
289,84246,follow maga patriot,NOT
290,59463,yup hahaha cute,NOT
291,20001,netflix whisperer jack trade right,NOT
292,32310,well would allow still protest stop speaker group really hitler early time nazi party group known s would beat politician people agree sound familiar smell like antifa,OFF
293,98273,full b fighting another million dollar payday,NOT
294,11599,rubberstamp call conservative republican left sycophant party coup keep house laughable want nancy pelosi speaker regurgitates fbr resistance url via,NOT
295,97204,plausible tory labour access building tory problem labour tory could leftist tory suspect pretty abusive someone arguing left abusive,OFF
296,86966,choice simple vote gillum voting socialism vote ron desantis voting everything make florida great voterondesantis2018 url,NOT
297,63560,day louis winthorpe iii met ophelia url,NOT
298,75915,gateway pundit news judicial committee chair grassley go feinstein say refused join call far left accuser url maga 2a prolife,NOT
299,59580,dreg society,NOT
300,84372,anything right shadowed florence think holding till storm,NOT
301,68130,yes usually country people kill gay cuz religion advise try point antifa beat matter u try america help gay country effect cuz ppl hate america,NOT
302,71682,good riddance,NOT
303,17545,like people acting like antifa,NOT
304,11972,come cranleys minion talk gun control life lost inner city cincinnati one looney shoot 5 3 city council want talk gun control,NOT
305,48644,imagine tread avi simultaneously allowing antifa police tread,NOT
306,62973,reminds conservative wanting know monica back knee really needed decide guy sleeze bag,NOT
307,54036,running selection need wait week,NOT
308,63278,trump promise border wall pay lie gun control innocent life taken,OFF
309,32461,would george washington university know liberal fall everything,NOT
310,88056,denial stage almost admission,NOT
311,52853,know death threat resist antifa tactic,NOT
312,22547,also need address question president trump hire two lawyer would hire robert mueller maga,NOT
313,88947,would temporarily change party republican party would primary agent orange real republican conservative would maga least great start,NOT
314,87717,beast boy 15 raven 18 robin starfire least early thirty,NOT
315,69481,former diplomat,NOT
316,62885,really really wish prime time spot harris favorite soooo pretty,NOT
317,73206,thescore happy birthday lucky lovely charm ka ng stunning hiphop ka minsan sa game ha,NOT
318,17174,liberal really nut,OFF
319,13104,actually tantrum,NOT
320,12221,antifa mean anti fascist sure antifa organization million anti fascist one,OFF
321,21223,yessssshhhhh else call shitgull ryme,OFF
322,50631,bea arthur lovely mud bath coconut oil rub settled bedtime story love love love book much read three time would go bed hope well feeling better url,NOT
323,56180,wassamatta starting wet pant worried dirty deed coming concerned getting view cell gitmo maga kag2020 drainthedeepstate walkawaydemocrats2018 liberalismisamentaldisease,OFF
324,93580,burn nike gear everyone know done buying nike oops conservative one buying nike r one making money way way u nike,NOT
325,75420,know see lying leave alone need write article wanted write 1 10 month ago know make money melissa,NOT
326,13384,canada need another cuck already enough looneyleft liberal f king great country qproofs trudeaumustgo,OFF
327,94210,hit keep coming democrat desperation palpable despicabledemocrats factsmatter msmedialies maga republicans2018 trump2020 bigredwave bluepuddle potus follow like usaguard twitter share url,NOT
328,88941,damn cute def facial expression,OFF
329,95860,correction liberal deliberately distorting,OFF
330,32309,mainly fault blame,OFF
331,54062,drama queen pulled feel sorry card working mom give break,OFF
332,48099,lie antifa lefty nothing violent teacher spent lot time planning attack honorable man zero evidence reason hold kavanaugh another crazy liberal hit job,OFF
333,72487,true wait say anything answer liberal say anything conservative court,NOT
334,81765,omg another bigot showing basically gutless sound much like donald,OFF
335,82740,deal would grow pair amp dump appeaser,NOT
336,21738,botox treatment,NOT
337,33351,compute,NOT
338,56610,said canada even want enough entitled liberal already,NOT
339,37636,considering puerto rico electricity 70 island hurricane im wondering left brain tarmac sun year probably trump baron assume,NOT
340,64050,hahahahaha really stiglitz nobel prize simple stockbroker,NOT
341,47345,quite enjoy tweet liking,NOT
342,38942,lol read title already know whats coming support common sense solution reducing gun violence gun violence different violence non automatic firearm common sense gun control like chicago ny london,OFF
343,32201,school read ammo box warning label,OFF
344,89653,maybe stop attacking conservative might find retaliate,OFF
345,10645,maybe qanon qarmytrain wwg1wga drainthedeepstate maga url,NOT
346,26198,wanna make sure see basking booty,NOT
347,77742,listen people queen right game war url,NOT
348,10586,good jimmy one pare offset 50 plunge market share take,NOT
349,15061,everyone u heard clearly qualified job voted accordingly,NOT
350,23228,get testy decide paid shill lot end hanging around qanon get used,OFF
351,48653,new idea speech law gun control killing baby thinking entitled free healthcare rich ppls money bc exis,OFF
352,39940,moral mean like aborting infant falsely accusing people antifa violence censoring free speech campus looting lying fill deep state moral,OFF
353,43528,blatant lie antifa worse hate group look berkeley university california nearly destroyed guy disagreed kkk white supremacy shutting free speech,OFF
354,63497,believe luigi fucking died,OFF
355,51204,booooring,NOT
356,88158,nah done yet usually walk extra far get one defeat purpose,NOT
357,43190,know 15 still think real,NOT
358,40054,egomaniac like lose spend money free agency draft better,OFF
359,13793,back,NOT
360,77450,followed 4k congrats nra trumpman maga url,NOT
361,59465,fucking time,NOT
362,13025,u notice actually good speaker good reader,NOT
363,41937,kind shocked gone feed least,NOT
364,40500,attention publicizing target list antifa twitter account list high profile name name random trump supporter please check list name report,NOT
365,69531,breibart comic section,NOT
366,95473,fake news finest change name antifa chicken gropers news use,NOT
367,21334,think hope abuser get better hit brave strong say prays see light,NOT
368,15453,historic moniker tory stupid party american conservative test lower average intelligence liberal,NOT
369,13588,smarter congress legislates need congress better skill stack solve dr shiva incredible proposal u stop long enough learn url,NOT
370,12795,gun control enough enough,OFF
371,71221,like london land banked luxury apartment little social housing built,NOT
372,32545,fucking hilarious,OFF
373,51835,trump supporter maga,NOT
374,70675,lol literally incapable,NOT
375,96485,course,NOT
376,64830,live dangerously,NOT
377,39866,get life,NOT
378,62822,end mos2 sm space hears voice head asking kryptonian turn around mm mm explains situation amp asks refuge earth sm put hand amp introduces shaking hand say welcome earth cut black,OFF
379,43832,gonna bitch write one,OFF
380,96773,still fucked respecting lgbtq,OFF
381,34534,must gotten email feinstein,NOT
382,43956,tea used program oop,NOT
383,37552,cnn fake news,OFF
384,84486,inviting war criminal canada parliament ever requested british military intelligence bet told parliament take latest batch war criminal vote treason omar url,NOT
385,47168,seems getting thing done,NOT
386,93086,frickin adorable,NOT
387,81310,allergic chocolate,NOT
388,36736,thanks man stock store tbh need order phone online pick 2 3 day unless texas,NOT
389,75964,25th amendment comey mulller half roll duct tape sufficient get sorry sonofabitch away,OFF
390,50500,war conservative antifa,OFF
391,11282,child rape assembly line url via cannot trust catholic priest cannot trust jewish rabbi let people secret greatawakening maga,OFF
392,53428,damn right url url,NOT
393,49705,doubt proud daughter heaven sorry loss young age difficult must amp imagine certain degree still must sound truly wonderful person legacy,NOT
394,13761,pro american embarrassed sick anti america liberal plenty country left ideology already place move,OFF
395,73619,steroid girl steroid rage,OFF
396,85998,top ballot tx 36 honored url rockthe36 votedayna url url,NOT
397,71552,roseannebarr never hid racism inexcusable know liberal sunk muslimbrotherhood comment priority blacklivesmatter must unite end racism roseannebarr open racist decade 100 inexcusable pcliberals wakeup end racism url,OFF
398,10172,ask dana worried home south carolina close coast currently n carolina 1st time visiting get welcomed w hurricane lordy day,NOT
399,96175,1 last minute video absolutely priceless 2 fact obama separated 90k kid protest liberal silence url,NOT
400,85439,lol,NOT
401,29648,god theemmys limousine liberal sick disgusting animal brain,OFF
402,41487,attorney general history held contempt,OFF
403,46756,give pound wanka,NOT
404,30426,snowball chance hell dimwit dem start taking losing like man err like uhm whatever identify today maga tired winning see november redwaverising2018 stop scotuskavenaugh,OFF
405,90628,ok killing baby,OFF
406,46160,gun control advocacy contrary single important natural right enshrined protected constitution attempt circumvent freedom radical see simple even invent nonsense word,NOT
407,69272,shuving tide pod mouth need gun control nomnom nom nom,NOT
408,64842,dude right one trigger,NOT
409,36963,seriously freaking hot,NOT
410,65081,stand listen puke change channel speaks belief lie nut leftwingliberaldisease walkaway voteredtosaveamerica maga,OFF
411,46699,lol mean,OFF
412,51072,lol earth think antifa need fund anything kicking nazi free business booming,OFF
413,29281,hey nut job democracy actually awake high school,NOT
414,81691,yes correct saying bye bye forever,NOT
415,63234,charge senate watch megyn kelly unload ford demanding fbi investigation url tcot maga rednationrising,NOT
416,10787,nailed as,OFF
417,31284,doin g patriotic mean basically saying political act nominee like waited come forward would cause max damage saying lying saying crazy,NOT
418,35552,really care act judicial alt right operative supreme court,NOT
419,29683,followed previously followed maga kag walkaway trumptrain nodaca iwantthewall url,NOT
420,42250,surely anything damage veterens affair sullied reputation another department,OFF
421,78539,worst take ever blatantly racist cartoon attempt defense,OFF
422,16462,conservative care democracy opinion called racist right jeopardy anyone else give shit sad,OFF
423,82666,telling know bum writes as bottom proof higher intelligence need,OFF
424,49980,say guy think labor australian equivalent usa liberal socialist,NOT
425,28403,either misinformed shame going shame,OFF
426,75502,disgusting liberal shame,OFF
427,66631,thought antifa actually fascist show rethuglicans actual fascist room,OFF
428,27487,got learn let go past living new millennium,NOT
